Scheme,Level,q,implementation,pk_bytes,ct_bytes,sk_bytes,ss_bytes,build_status,kat_status,correctness_status,iterations,KG_kCycles,Enc_kCycles,Dec_kCycles,timing_method,compiler,flags,commit,branch,dirty_before,dirty_after,source_dir,build_command,notes
"SMAUG-T","128","1024","reference","672","672","832","32","pass","pass","pass","1000","75.318","70.950","94.420","rdtsc_lfence_median","cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0","-O3 -std=c11 -DSMAUGT_CONFIG_MODE=SMAUGT_MODE1","724faac0a484851588417e1ccfd86885883dc1bb","work","dirty","dirty","SMAUG-T-1.2.0/reference_implementation","rm -rf bench_smaugt_baseline/results/build/cmake_reference && /usr/bin/cmake -S SMAUG-T-1.2.0/reference_implementation -B bench_smaugt_baseline/results/build/cmake_reference -DCMAKE_BUILD_TYPE=Release -DSMAUGT_BUILD_TEST=OFF && /usr/bin/cmake --build bench_smaugt_baseline/results/build/cmake_reference --config Release --parallel; cc local benchmark harness linked against official CMake library","mode mapping: SMAUG-T128 -> mode1; source tree is explicitly named reference_implementation"
"SMAUG-T","128","unavailable","avx2","unavailable","unavailable","unavailable","unavailable","not_available","not_available","not_available","1000","","","","unavailable","cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0","not_available","724faac0a484851588417e1ccfd86885883dc1bb","work","dirty","dirty","not_available","not_available","No AVX2/optimized SMAUG-T implementation directory was found in this repository. Evidence scan did not identify a buildable AVX2 SMAUG-T target."
"SMAUG-T","192","2048","reference","1088","992","1312","32","pass","pass","pass","1000","149.224","144.287","183.383","rdtsc_lfence_median","cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0","-O3 -std=c11 -DSMAUGT_CONFIG_MODE=SMAUGT_MODE3","724faac0a484851588417e1ccfd86885883dc1bb","work","dirty","dirty","SMAUG-T-1.2.0/reference_implementation","rm -rf bench_smaugt_baseline/results/build/cmake_reference && /usr/bin/cmake -S SMAUG-T-1.2.0/reference_implementation -B bench_smaugt_baseline/results/build/cmake_reference -DCMAKE_BUILD_TYPE=Release -DSMAUGT_BUILD_TEST=OFF && /usr/bin/cmake --build bench_smaugt_baseline/results/build/cmake_reference --config Release --parallel; cc local benchmark harness linked against official CMake library","mode mapping: SMAUG-T192 -> mode3; source tree is explicitly named reference_implementation"
"SMAUG-T","192","unavailable","avx2","unavailable","unavailable","unavailable","unavailable","not_available","not_available","not_available","1000","","","","unavailable","cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0","not_available","724faac0a484851588417e1ccfd86885883dc1bb","work","dirty","dirty","not_available","not_available","No AVX2/optimized SMAUG-T implementation directory was found in this repository. Evidence scan did not identify a buildable AVX2 SMAUG-T target."
"SMAUG-T","256","2048","reference","1440","1376","1728","32","pass","pass","pass","1000","270.524","233.834","281.733","rdtsc_lfence_median","cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0","-O3 -std=c11 -DSMAUGT_CONFIG_MODE=SMAUGT_MODE5","724faac0a484851588417e1ccfd86885883dc1bb","work","dirty","dirty","SMAUG-T-1.2.0/reference_implementation","rm -rf bench_smaugt_baseline/results/build/cmake_reference && /usr/bin/cmake -S SMAUG-T-1.2.0/reference_implementation -B bench_smaugt_baseline/results/build/cmake_reference -DCMAKE_BUILD_TYPE=Release -DSMAUGT_BUILD_TEST=OFF && /usr/bin/cmake --build bench_smaugt_baseline/results/build/cmake_reference --config Release --parallel; cc local benchmark harness linked against official CMake library","mode mapping: SMAUG-T256 -> mode5; source tree is explicitly named reference_implementation"
"SMAUG-T","256","unavailable","avx2","unavailable","unavailable","unavailable","unavailable","not_available","not_available","not_available","1000","","","","unavailable","cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0","not_available","724faac0a484851588417e1ccfd86885883dc1bb","work","dirty","dirty","not_available","not_available","No AVX2/optimized SMAUG-T implementation directory was found in this repository. Evidence scan did not identify a buildable AVX2 SMAUG-T target."
